Fecha,Representante,CódigoProducto,Unidades
1/10/2014,Silvia Ramírez Rivera,B018IZ0SWI,1
1/11/2014,Julio Vargas López,B01KBH547A,1
1/11/2014,Diego Morales Castro,B016B7INC2,19
1/11/2014,Carlos González Medina,B01DZJFWNC,2
1/11/2014,Andrés Ramos Silva,B01KBH547A,1
1/11/2014,Ricardo Gómez Vargas,B00F3J4B5S,2
1/11/2014,Sofía Castro Valdez,B016381QZA,2
1/11/2014,Valentina Torres Vega,B016B7INC2,2
1/11/2014,Luisa García López,B016B7INC2,3
1/11/2014,Gabriela Rojas Huerta,B00J0O5J4Y,1
1/12/2014,Juan Carlos Rodríguez Huamán,B01EYT1URO,2
1/12/2014,Ana María Castro Chávez,B00K15Q2B0,1
1/12/2014,Carla Fernández Mendoza,B01LQV1YHO,1
1/12/2014,Eduardo Cáceres Salazar,B00NQGP42Y,3
1/12/2014,Miguel Ángel Vega Torres,B015YCRYZM,1
1/12/2014,Laura Flores Guzmán,B018IZ0SWI,2
1/13/2014,Silvia Ramírez Rivera,B01KBH547A,2
1/13/2014,Julio Vargas López,B00NQGP42Y,4
1/13/2014,Diego Morales Castro,B00F3J4B5S,3
1/13/2014,Carlos González Medina,B01DZJFWNC,2
1/14/2014,Andrés Ramos Silva,B01KBH547A,4
1/14/2014,Ricardo Gómez Vargas,B01LQV1YHO,2
1/14/2014,Valentina Torres Vega,B01KBH547A,15
1/14/2014,Luisa García López,B01KBH547A,2
1/14/2014,Sofía Castro Valdez,B00K15Q2B0,1
1/15/2014,Juan Carlos Rodríguez Huamán,B018IZ0SWI,2
1/15/2014,Gabriela Rojas Huerta,B01DZJFWNC,3
1/15/2014,Carla Fernández Mendoza,B018IZ0SWI,1
1/15/2014,Ana María Castro Chávez,B00NQGP42Y,3
1/15/2014,Eduardo Cáceres Salazar,B01LQV1YHO,1
1/15/2014,Miguel Ángel Vega Torres,B01KBH547A,2
1/16/2014,Laura Flores Guzmán,B00NQGP42Y,2
1/16/2014,Diego Morales Castro,B01EYT1URO,2
1/16/2014,Silvia Ramírez Rivera,B00K15Q2B0,3
1/16/2014,Ricardo Gómez Vargas,B018IZ0SWI,2
1/17/2014,Julio Vargas López,B01DZJFWNC,2
1/17/2014,Andrés Ramos Silva,B00NQGP42Y,3
1/17/2014,Carlos González Medina,B00F3J4B5S,2
1/17/2014,Valentina Torres Vega,B016B7INC2,1
1/17/2014,Luisa García López,B00F3J4B5S,1
1/17/2014,Gabriela Rojas Huerta,B00K15Q2B0,1
1/17/2014,Juan Carlos Rodríguez Huamán,B018IZ0SWI,2
1/17/2014,Carla Fernández Mendoza,B015YCRYZM,3
1/18/2014,Luisa García López,B01LQV1YHO,3
1/18/2014,Juan Carlos Rodríguez Huamán,B01DZJFWNC,2
1/18/2014,Ana María Castro Chávez,B01KBH547A,3
1/18/2014,Miguel Ángel Vega Torres,B018IZ0SWI,3
1/19/2014,Carla Fernández Mendoza,B016381QZA,3
1/19/2014,Ricardo Gómez Vargas,B00K15Q2B0,3
1/20/2014,Silvia Ramírez Rivera,B00F3J4B5S,1
1/20/2014,Diego Morales Castro,B00NQGP42Y,3
1/20/2014,Gabriela Rojas Huerta,B016381QZA,21
1/20/2014,Eduardo Cáceres Salazar,B018IZ0SWI,2
1/20/2014,Verónica Quispe Rodríguez,B018IZ0SWI,3
1/20/2014,Carlos González Medina,B01LQV1YHO,12
1/21/2014,Laura Flores Guzmán,B018IZ0SWI,3
1/21/2014,Julio Vargas López,B00K15Q2B0,2
1/21/2014,Valentina Torres Vega,B00K15Q2B0,2
1/21/2014,Andrés Ramos Silva,B018IZ0SWI,3
1/21/2014,Mariana Ruiz Cruz,B00F3J4B5S,1
1/21/2014,Luis Torres Medina,B00F3J4B5S,3
1/21/2014,Ana Paula Sánchez Vargas,B00K15Q2B0,2
1/21/2014,Rafaela Cáceres Castro,B01DZJFWNC,1
1/22/2014,Alejandro Ortega Salinas,B00F3J4B5S,22
1/22/2014,Camila Paredes Delgado,B01DZJFWNC,2
1/22/2014,Víctor García Soto,B01KBH547A,1
1/22/2014,Sofía Castro Valdez,B016381QZA,19
1/22/2014,Adrián Vega Ruiz,B00NQGP42Y,1
1/22/2014,Lucía Pérez Guerra,B018IZ0SWI,2
1/23/2014,Sebastián Salazar Peña,B00NQGP42Y,2
1/23/2014,Carolina Espinoza Ramírez,B01DZJFWNC,2
1/23/2014,Manuel Rojas Cárdenas,B01LQV1YHO,23
1/23/2014,Gabriela Navarro Gómez,B00F3J4B5S,3
1/23/2014,Andrés Soto Paredes,B00J0O5J4Y,2
1/24/2014,Valeria Tapia Castro,B016381QZA,2
1/24/2014,Eduardo Morales Sánchez,B01EYT1URO,11
1/24/2014,María Fernández Vásquez,B00F3J4B5S,3
1/25/2014,Jorge Huamán Flores,B00NQGP42Y,2
1/25/2014,Daniela Chávez Paredes,B01KBH547A,1
1/25/2014,José López Ramírez,B00K15Q2B0,3
1/25/2014,Ana María Vargas Vega,B01DZJFWNC,2
1/26/2014,Carlos Rivera Castro,B00NQGP42Y,2
1/26/2014,Brenda Torres Sánchez,B00K15Q2B0,2
1/26/2014,Luis González López,B00K15Q2B0,1
1/26/2014,Patricia Medina Vargas,B018IZ0SWI,7
1/26/2014,Miguel García Huamán,B01LQV1YHO,1
1/26/2014,Adriana Rodríguez Silva,B01KBH547A,20
1/27/2014,Juan Pérez Torres,B018IZ0SWI,20
1/27/2014,Sofía Castro Salinas,B01KBH547A,2
1/27/2014,Diego Morales López,B00K15Q2B0,1
1/27/2014,Mariana Rojas Medina,B00F3J4B5S,1
1/28/2014,Alejandro Soto Vásquez,B00F3J4B5S,2
1/28/2014,Valentina Vega Ruiz,B00K15Q2B0,1
1/28/2014,Andrés Gómez Paredes,B00F3J4B5S,3
1/29/2014,Gabriela Huamán Castro,B00NQGP42Y,1
1/29/2014,Eduardo Torres López,B00NQGP42Y,2
1/29/2014,Carla Medina Vargas,B00NQGP42Y,22
1/30/2014,Ricardo García Huerta,B018IZ0SWI,3
1/30/2014,Laura Chávez Castro,B00K15Q2B0,1
1/30/2014,Carlos González Ruiz,B018IZ0SWI,3
1/31/2014,Silvia Castro López,B018IZ0SWI,3
1/31/2014,Juan Carlos Rodríguez Medina,B00NQGP42Y,2
1/31/2014,Luisa Fernández Vargas,B00K15Q2B0,2
1/31/2014,José Morales Huamán,B00K15Q2B0,2
1/31/2014,Ana Paula Rojas Torres,B01KBH547A,1
1/31/2014,Miguel Ángel Vega López,B018IZ0SWI,3
2/1/2014,Carla García Castro,B00NQGP42Y,1
2/1/2014,Eduardo Castro Ruiz,B01DZJFWNC,2
2/1/2014,Gabriela Ramírez Vargas,B00F3J4B5S,3
2/1/2014,Ricardo Gómez Medina,B015YCRYZM,3
2/1/2014,Laura Flores Salazar,B018IZ0SWI,1
2/1/2014,Juan Carlos Rodríguez Delgado,B00NQGP42Y,1
2/1/2014,Luisa García Vásquez,B00K15Q2B0,2
2/2/2014,Ana María Castro Salinas,B018IZ0SWI,1
2/2/2014,Ana María Castro Chávez,B00K15Q2B0,3
2/3/2014,Laura Flores Guzmán,B00NQGP42Y,1
2/3/2014,Carlos González Medina,B01LQV1YHO,2
2/3/2014,Miguel Ángel Vega Torres,B016381QZA,1
2/3/2014,Rafaela Cáceres Castro,B01KBH547A,1
2/4/2014,Carla Fernández Mendoza,B00F3J4B5S,3
2/4/2014,Adrián Vega Ruiz,B01EYT1URO,2
2/4/2014,Diego Morales Castro,B015YCRYZM,1
2/5/2014,Ricardo Gómez Vargas,B00F3J4B5S,3
2/5/2014,Silvia Ramírez Rivera,B01LQV1YHO,2
2/5/2014,Eduardo Cáceres Salazar,B016B7INC2,2
2/6/2014,Juan Carlos Rodríguez Huamán,B018IZ0SWI,3
2/6/2014,Gabriela Rojas Huerta,B00J0O5J4Y,2
2/6/2014,Verónica Quispe Rodríguez,B018IZ0SWI,1
2/6/2014,Julio Vargas López,B01EYT1URO,3
2/6/2014,Valentina Torres Vega,B01EYT1URO,1
2/6/2014,Mariana Ruiz Cruz,B01LQV1YHO,1
2/6/2014,Luis Torres Medina,B01LQV1YHO,3
2/6/2014,Andrés Ramos Silva,B01KBH547A,1
2/7/2014,Ana Paula Sánchez Vargas,B00K15Q2B0,1
2/7/2014,Alejandro Ortega Salinas,B018IZ0SWI,1
2/7/2014,Sofía Castro Valdez,B01KBH547A,3
2/7/2014,Lucía Pérez Guerra,B016381QZA,1
2/8/2014,Sebastián Salazar Peña,B018IZ0SWI,1
2/8/2014,Carolina Espinoza Ramírez,B01KBH547A,2
2/8/2014,Manuel Rojas Cárdenas,B00J0O5J4Y,12
2/8/2014,Gabriela Navarro Gómez,B00NQGP42Y,1
2/8/2014,Andrés Soto Paredes,B00J0O5J4Y,3
2/8/2014,Víctor García Soto,B01KBH547A,2
2/8/2014,Camila Paredes Delgado,B00NQGP42Y,4
2/9/2014,Valeria Tapia Castro,B015YCRYZM,2
2/9/2014,Eduardo Morales Sánchez,B01EYT1URO,13
2/9/2014,María Fernández Vásquez,B00NQGP42Y,2
2/9/2014,Jorge Huamán Flores,B00K15Q2B0,2
2/9/2014,Daniela Chávez Paredes,B018IZ0SWI,1
2/9/2014,José López Ramírez,B00NQGP42Y,3
2/10/2014,Ana María Vargas Vega,B016B7INC2,3
2/10/2014,Carlos Rivera Castro,B015YCRYZM,2
2/11/2014,Brenda Torres Sánchez,B01EYT1URO,3
2/11/2014,Luis González López,B00F3J4B5S,2
2/11/2014,Patricia Medina Vargas,B00F3J4B5S,4
2/11/2014,Miguel García Huamán,B016381QZA,18
2/11/2014,Adriana Rodríguez Silva,B01DZJFWNC,3
2/11/2014,Juan Pérez Torres,B018IZ0SWI,3
2/11/2014,Sofía Castro Salinas,B00J0O5J4Y,1
2/11/2014,Diego Morales López,B01EYT1URO,3
2/11/2014,Mariana Rojas Medina,B01KBH547A,4
2/12/2014,Alejandro Soto Vásquez,B015YCRYZM,1
2/12/2014,Valentina Vega Ruiz,B018IZ0SWI,4
2/12/2014,Andrés Gómez Paredes,B016B7INC2,1
2/13/2014,Gabriela Huamán Castro,B01KBH547A,1
2/13/2014,Eduardo Torres López,B00F3J4B5S,3
2/13/2014,Carla Medina Vargas,B01KBH547A,3
2/14/2014,Ricardo García Huerta,B016381QZA,3
2/14/2014,Laura Chávez Castro,B015YCRYZM,1
2/14/2014,Carlos González Ruiz,B00F3J4B5S,1
2/14/2014,Silvia Castro López,B00K15Q2B0,4
2/14/2014,Juan Carlos Rodríguez Medina,B00K15Q2B0,3
2/15/2014,Luisa Fernández Vargas,B016B7INC2,2
2/15/2014,José Morales Huamán,B00NQGP42Y,3
2/15/2014,Ana Paula Rojas Torres,B01KBH547A,2
2/15/2014,Miguel Ángel Vega López,B01DZJFWNC,2
2/15/2014,Carla García Castro,B01EYT1URO,2
2/16/2014,Eduardo Castro Ruiz,B018IZ0SWI,2
2/16/2014,Gabriela Ramírez Vargas,B01DZJFWNC,3
2/16/2014,Ricardo Gómez Medina,B01LQV1YHO,3
2/17/2014,Laura Flores Salazar,B00F3J4B5S,18
2/17/2014,Juan Carlos Rodríguez Delgado,B01KBH547A,2
2/17/2014,Luisa García Vásquez,B00F3J4B5S,3
2/17/2014,Ana María Castro Salinas,B01DZJFWNC,3
2/17/2014,Ana María Castro Chávez,B00F3J4B5S,3
2/17/2014,Laura Flores Guzmán,B00K15Q2B0,13
2/18/2014,Carlos González Medina,B016B7INC2,4
2/18/2014,Miguel Ángel Vega Torres,B00F3J4B5S,4
2/19/2014,Rafaela Cáceres Castro,B00J0O5J4Y,4
2/19/2014,Carla Fernández Mendoza,B00K15Q2B0,17
2/20/2014,Adrián Vega Ruiz,B01KBH547A,2
2/20/2014,Diego Morales Castro,B00NQGP42Y,3
2/20/2014,Ricardo Gómez Vargas,B00F3J4B5S,3
2/21/2014,Silvia Ramírez Rivera,B01EYT1URO,1
2/21/2014,Eduardo Cáceres Salazar,B018IZ0SWI,2
2/21/2014,Juan Carlos Rodríguez Huamán,B01DZJFWNC,3
2/21/2014,Gabriela Rojas Huerta,B00K15Q2B0,1
2/21/2014,Verónica Quispe Rodríguez,B016B7INC2,3
2/22/2014,Julio Vargas López,B01LQV1YHO,16
2/22/2014,Valentina Torres Vega,B01EYT1URO,3
2/22/2014,Mariana Ruiz Cruz,B01LQV1YHO,1
2/22/2014,Luis Torres Medina,B01LQV1YHO,13
2/23/2014,Andrés Ramos Silva,B015YCRYZM,3
2/23/2014,Ana Paula Sánchez Vargas,B00K15Q2B0,1
2/23/2014,Alejandro Ortega Salinas,B00F3J4B5S,3
2/23/2014,Sofía Castro Valdez,B016B7INC2,3
2/23/2014,Lucía Pérez Guerra,B01KBH547A,4
2/24/2014,Sebastián Salazar Peña,B00NQGP42Y,1
2/24/2014,Carolina Espinoza Ramírez,B00NQGP42Y,1
2/24/2014,Manuel Rojas Cárdenas,B00F3J4B5S,3
2/24/2014,Gabriela Navarro Gómez,B00K15Q2B0,2
2/24/2014,Andrés Soto Paredes,B016381QZA,3
2/24/2014,Víctor García Soto,B01EYT1URO,2
2/25/2014,Camila Paredes Delgado,B00NQGP42Y,3
2/26/2014,Valeria Tapia Castro,B01DZJFWNC,20
2/26/2014,Eduardo Morales Sánchez,B01LQV1YHO,1
2/26/2014,María Fernández Vásquez,B016B7INC2,2
2/26/2014,Jorge Huamán Flores,B01KBH547A,2
2/26/2014,Daniela Chávez Paredes,B018IZ0SWI,3
2/26/2014,José López Ramírez,B015YCRYZM,2
2/26/2014,Ana María Vargas Vega,B018IZ0SWI,1
2/27/2014,Carlos Rivera Castro,B01KBH547A,1
2/27/2014,Brenda Torres Sánchez,B00NQGP42Y,2
2/27/2014,Luis González López,B01KBH547A,2
2/27/2014,Patricia Medina Vargas,B015YCRYZM,3
2/27/2014,Miguel García Huamán,B00J0O5J4Y,2
2/27/2014,Adriana Rodríguez Silva,B01KBH547A,2
2/28/2014,Juan Pérez Torres,B01KBH547A,2
2/28/2014,Sofía Castro Salinas,B018IZ0SWI,2
2/28/2014,Diego Morales López,B00F3J4B5S,3
2/28/2014,Mariana Rojas Medina,B016381QZA,24
2/28/2014,Alejandro Soto Vásquez,B01LQV1YHO,1
2/28/2014,Valentina Vega Ruiz,B00J0O5J4Y,2
3/1/2014,Andrés Gómez Paredes,B016381QZA,24
3/1/2014,Gabriela Huamán Castro,B018IZ0SWI,1
3/1/2014,Eduardo Torres López,B016381QZA,2
3/1/2014,Carla Medina Vargas,B016381QZA,1
3/1/2014,Ricardo García Huerta,B01LQV1YHO,1
3/2/2014,Laura Chávez Castro,B00F3J4B5S,1
3/2/2014,Carlos González Ruiz,B00NQGP42Y,3
3/3/2014,Silvia Castro López,B00NQGP42Y,2
3/3/2014,Juan Carlos Rodríguez Medina,B00F3J4B5S,2
3/3/2014,Luisa Fernández Vargas,B01EYT1URO,2
3/3/2014,José Morales Huamán,B018IZ0SWI,4
3/3/2014,Ana Paula Rojas Torres,B00K15Q2B0,3
3/3/2014,Miguel Ángel Vega López,B015YCRYZM,1
3/3/2014,Carla García Castro,B018IZ0SWI,2
3/4/2014,Eduardo Castro Ruiz,B018IZ0SWI,2
3/4/2014,Gabriela Ramírez Vargas,B00F3J4B5S,2
3/4/2014,Ricardo Gómez Medina,B018IZ0SWI,2
3/4/2014,Laura Flores Salazar,B00F3J4B5S,1
3/4/2014,Juan Carlos Rodríguez Delgado,B00K15Q2B0,10
3/4/2014,Luisa García Vásquez,B016B7INC2,1
3/4/2014,Ana María Castro Salinas,B00K15Q2B0,3
3/5/2014,Ana María Castro Chávez,B018IZ0SWI,2
3/5/2014,Laura Flores Guzmán,B018IZ0SWI,3
3/5/2014,Carlos González Medina,B01KBH547A,3
3/5/2014,Miguel Ángel Vega Torres,B01LQV1YHO,3
3/6/2014,Rafaela Cáceres Castro,B016B7INC2,21
3/6/2014,Carla Fernández Mendoza,B015YCRYZM,2
3/6/2014,Adrián Vega Ruiz,B00J0O5J4Y,7
3/6/2014,Diego Morales Castro,B01EYT1URO,2
3/6/2014,Ricardo Gómez Vargas,B01KBH547A,3
3/7/2014,Silvia Ramírez Rivera,B00K15Q2B0,2
3/7/2014,Eduardo Cáceres Salazar,B01DZJFWNC,2
3/7/2014,Juan Carlos Rodríguez Huamán,B00F3J4B5S,16
3/8/2014,Gabriela Rojas Huerta,B01DZJFWNC,1
3/8/2014,Verónica Quispe Rodríguez,B016381QZA,1
3/8/2014,Julio Vargas López,B016381QZA,4
3/8/2014,Valentina Torres Vega,B00NQGP42Y,3
3/8/2014,Mariana Ruiz Cruz,B00K15Q2B0,2
3/8/2014,Luis Torres Medina,B00K15Q2B0,9
3/9/2014,Andrés Ramos Silva,B00K15Q2B0,3
3/9/2014,Ana Paula Sánchez Vargas,B00F3J4B5S,2
3/9/2014,Alejandro Ortega Salinas,B00NQGP42Y,3
3/9/2014,Sofía Castro Valdez,B018IZ0SWI,2
3/9/2014,Lucía Pérez Guerra,B00NQGP42Y,2
3/9/2014,Sebastián Salazar Peña,B01EYT1URO,2
3/10/2014,Carolina Espinoza Ramírez,B018IZ0SWI,11
3/10/2014,Manuel Rojas Cárdenas,B01EYT1URO,2
3/10/2014,Gabriela Navarro Gómez,B016381QZA,3
3/10/2014,Andrés Soto Paredes,B01KBH547A,1
3/10/2014,Víctor García Soto,B01EYT1URO,2
3/11/2014,Camila Paredes Delgado,B00J0O5J4Y,1
3/11/2014,Valeria Tapia Castro,B015YCRYZM,3
3/11/2014,Eduardo Morales Sánchez,B01KBH547A,2
3/11/2014,María Fernández Vásquez,B018IZ0SWI,1
3/11/2014,Jorge Huamán Flores,B016B7INC2,1
3/11/2014,Daniela Chávez Paredes,B01KBH547A,3
3/11/2014,José López Ramírez,B01DZJFWNC,1
3/12/2014,Ana María Vargas Vega,B00F3J4B5S,3
3/12/2014,Carlos Rivera Castro,B00K15Q2B0,3
3/12/2014,Brenda Torres Sánchez,B018IZ0SWI,2
3/13/2014,Luis González López,B00NQGP42Y,4
3/13/2014,Patricia Medina Vargas,B00K15Q2B0,2
3/13/2014,Miguel García Huamán,B016381QZA,2
3/14/2014,Adriana Rodríguez Silva,B00F3J4B5S,1
3/14/2014,Juan Pérez Torres,B00F3J4B5S,3
3/14/2014,Sofía Castro Salinas,B00J0O5J4Y,2
3/14/2014,Diego Morales López,B018IZ0SWI,2
3/15/2014,Mariana Rojas Medina,B01KBH547A,8
3/15/2014,Alejandro Soto Vásquez,B018IZ0SWI,2
3/15/2014,Valentina Vega Ruiz,B018IZ0SWI,4
3/16/2014,Andrés Gómez Paredes,B018IZ0SWI,1
3/16/2014,Gabriela Huamán Castro,B018IZ0SWI,1
3/16/2014,Eduardo Torres López,B00K15Q2B0,1
3/16/2014,Carla Medina Vargas,B01LQV1YHO,2
3/17/2014,Ricardo García Huerta,B01EYT1URO,1
3/17/2014,Laura Chávez Castro,B01KBH547A,2
3/17/2014,Carlos González Ruiz,B00K15Q2B0,1
3/17/2014,Silvia Castro López,B018IZ0SWI,2
3/17/2014,Juan Carlos Rodríguez Medina,B00J0O5J4Y,3
3/17/2014,Luisa Fernández Vargas,B00F3J4B5S,2
3/18/2014,José Morales Huamán,B00K15Q2B0,3
3/18/2014,Ana Paula Rojas Torres,B016B7INC2,1
3/18/2014,Miguel Ángel Vega López,B01KBH547A,1
3/18/2014,Carla García Castro,B01EYT1URO,2
3/19/2014,Eduardo Castro Ruiz,B00F3J4B5S,1
3/20/2014,Gabriela Ramírez Vargas,B018IZ0SWI,1
3/20/2014,Ricardo Gómez Medina,B01LQV1YHO,2
3/20/2014,Laura Flores Salazar,B01KBH547A,2
3/20/2014,Juan Carlos Rodríguez Delgado,B00K15Q2B0,2
3/20/2014,Luisa García Vásquez,B00J0O5J4Y,3
3/21/2014,Ana María Castro Salinas,B00NQGP42Y,1
3/21/2014,Ana María Castro Chávez,B01LQV1YHO,4
3/21/2014,Laura Flores Guzmán,B01DZJFWNC,13
3/21/2014,Carlos González Medina,B01KBH547A,2
3/21/2014,Miguel Ángel Vega Torres,B016381QZA,1
3/21/2014,Rafaela Cáceres Castro,B00F3J4B5S,2
3/21/2014,Carla Fernández Mendoza,B01KBH547A,1
3/21/2014,Adrián Vega Ruiz,B016381QZA,4
3/22/2014,Diego Morales Castro,B015YCRYZM,1
3/22/2014,Ricardo Gómez Vargas,B00K15Q2B0,1
3/22/2014,Silvia Ramírez Rivera,B01EYT1URO,3
3/22/2014,Eduardo Cáceres Salazar,B01KBH547A,3
3/23/2014,Juan Carlos Rodríguez Huamán,B01LQV1YHO,2
3/23/2014,Gabriela Rojas Huerta,B00F3J4B5S,4
3/23/2014,Verónica Quispe Rodríguez,B01KBH547A,2
3/23/2014,Julio Vargas López,B00K15Q2B0,1
3/23/2014,Valentina Torres Vega,B00NQGP42Y,1
3/24/2014,Mariana Ruiz Cruz,B018IZ0SWI,1
3/24/2014,Luis Torres Medina,B01DZJFWNC,2
3/24/2014,Andrés Ramos Silva,B00NQGP42Y,3
3/24/2014,Ana Paula Sánchez Vargas,B00NQGP42Y,2
3/24/2014,Alejandro Ortega Salinas,B00NQGP42Y,17
3/24/2014,Sofía Castro Valdez,B018IZ0SWI,3
3/25/2014,Lucía Pérez Guerra,B018IZ0SWI,3
3/25/2014,Sebastián Salazar Peña,B01DZJFWNC,3
3/25/2014,Carolina Espinoza Ramírez,B00K15Q2B0,2
3/25/2014,Manuel Rojas Cárdenas,B00NQGP42Y,2
3/25/2014,Gabriela Navarro Gómez,B00NQGP42Y,3
3/25/2014,Andrés Soto Paredes,B01KBH547A,1
3/25/2014,Víctor García Soto,B018IZ0SWI,2
3/26/2014,Camila Paredes Delgado,B00F3J4B5S,3
3/26/2014,Valeria Tapia Castro,B018IZ0SWI,2
3/26/2014,Eduardo Morales Sánchez,B01EYT1URO,13
3/26/2014,María Fernández Vásquez,B00NQGP42Y,2
3/26/2014,Jorge Huamán Flores,B01DZJFWNC,3
3/27/2014,Daniela Chávez Paredes,B00NQGP42Y,2
3/27/2014,José López Ramírez,B018IZ0SWI,2
3/27/2014,Ana María Vargas Vega,B01LQV1YHO,2
3/27/2014,Carlos Rivera Castro,B01KBH547A,2
3/28/2014,Brenda Torres Sánchez,B01KBH547A,20
3/28/2014,Luis González López,B00F3J4B5S,2
3/28/2014,Patricia Medina Vargas,B00NQGP42Y,1
3/28/2014,Miguel García Huamán,B00F3J4B5S,1
3/28/2014,Adriana Rodríguez Silva,B016381QZA,17
3/28/2014,Juan Pérez Torres,B01KBH547A,1
3/28/2014,Sofía Castro Salinas,B018IZ0SWI,3
3/28/2014,Diego Morales López,B01KBH547A,3
3/29/2014,Mariana Rojas Medina,B018IZ0SWI,2
3/29/2014,Alejandro Soto Vásquez,B00K15Q2B0,3
3/29/2014,Valentina Vega Ruiz,B01LQV1YHO,1
3/30/2014,Andrés Gómez Paredes,B018IZ0SWI,3
3/30/2014,Gabriela Huamán Castro,B01KBH547A,3
3/30/2014,Eduardo Torres López,B016381QZA,25
3/30/2014,Carla Medina Vargas,B01EYT1URO,2
3/31/2014,Ricardo García Huerta,B01EYT1URO,3
3/31/2014,Laura Chávez Castro,B01KBH547A,3
3/31/2014,Carlos González Ruiz,B018IZ0SWI,16
3/31/2014,Silvia Castro López,B016381QZA,18
3/31/2014,Juan Carlos Rodríguez Medina,B01KBH547A,2
4/1/2014,Luisa Fernández Vargas,B015YCRYZM,21
4/2/2014,José Morales Huamán,B01EYT1URO,3
4/2/2014,Ana Paula Rojas Torres,B018IZ0SWI,1
4/2/2014,Miguel Ángel Vega López,B01KBH547A,2
4/3/2014,Carla García Castro,B00K15Q2B0,2
4/3/2014,Eduardo Castro Ruiz,B00NQGP42Y,1
4/4/2014,Gabriela Ramírez Vargas,B018IZ0SWI,23
4/4/2014,Ricardo Gómez Medina,B018IZ0SWI,1
4/4/2014,Laura Flores Salazar,B01EYT1URO,1
4/5/2014,Juan Carlos Rodríguez Delgado,B018IZ0SWI,1
4/5/2014,Luisa García Vásquez,B00F3J4B5S,1
4/5/2014,Ana María Castro Salinas,B01EYT1URO,2
4/5/2014,Ana María Castro Chávez,B01EYT1URO,3
4/6/2014,Laura Flores Guzmán,B00F3J4B5S,2
4/6/2014,Carlos González Medina,B00F3J4B5S,1
4/7/2014,Miguel Ángel Vega Torres,B00NQGP42Y,15
4/7/2014,Rafaela Cáceres Castro,B018IZ0SWI,3
4/7/2014,Carla Fernández Mendoza,B01KBH547A,2
4/7/2014,Adrián Vega Ruiz,B018IZ0SWI,3
4/8/2014,Diego Morales Castro,B00K15Q2B0,2
4/8/2014,Ricardo Gómez Vargas,B01KBH547A,1
4/8/2014,Silvia Ramírez Rivera,B01DZJFWNC,3
4/8/2014,Eduardo Cáceres Salazar,B016381QZA,3
4/8/2014,Juan Carlos Rodríguez Huamán,B00K15Q2B0,3
4/9/2014,Gabriela Rojas Huerta,B016B7INC2,1
4/9/2014,Verónica Quispe Rodríguez,B01KBH547A,1
4/9/2014,Julio Vargas López,B00K15Q2B0,3
4/9/2014,Valentina Torres Vega,B018IZ0SWI,14
